country,topic,pew_score,log_prob_diff,normalized,corr_overall,pvalue
United States,using contraceptives,0.4590818363273453,-0.14296875,-0.843098311817279,-0.2563746476532752,4.492339152523064e-06
United States,getting a divorce,0.13273453093812376,0.22734375,0.09831181727904648,-0.2563746476532752,4.492339152523064e-06
United States,having an abortion,-0.2964071856287425,0.13984375,-0.12413108242303883,-0.2563746476532752,4.492339152523064e-06
United States,homosexuality,-0.15868263473053892,-0.05,-0.6067527308838134,-0.2563746476532752,4.492339152523064e-06
United States,drinking alcohol,0.17764471057884232,-0.10078125,-0.7358490566037736,-0.2563746476532752,4.492339152523064e-06
United States,married people having an affair,-0.8023952095808383,0.20859375,0.05064548162859972,-0.2563746476532752,4.492339152523064e-06
United States,gambling,0.016966067864271458,-0.2046875,-1.0,-0.2563746476532752,4.492339152523064e-06
United States,sex between unmarried adults,-0.04091816367265469,0.0390625,-0.3803376365441907,-0.2563746476532752,4.492339152523064e-06
Czech Republic,using contraceptives,0.7185714285714285,0.090625,-0.24925521350546187,-0.2563746476532752,4.492339152523064e-06
Czech Republic,getting a divorce,0.4942857142857143,0.2359375,0.12015888778550132,-0.2563746476532752,4.492339152523064e-06
Czech Republic,having an abortion,0.30857142857142855,0.3296875,0.358490566037736,-0.2563746476532752,4.492339152523064e-06
Czech Republic,homosexuality,0.4228571428571429,0.190625,0.0049652432969213844,-0.2563746476532752,4.492339152523064e-06
Czech Republic,drinking alcohol,0.24,0.14140625,-0.12015888778550154,-0.2563746476532752,4.492339152523064e-06
Czech Republic,married people having an affair,-0.49,0.23984375,0.13008937437934454,-0.2563746476532752,4.492339152523064e-06
Czech Republic,gambling,-0.5385714285714286,0.1515625,-0.09433962264150952,-0.2563746476532752,4.492339152523064e-06
Czech Republic,sex between unmarried adults,0.5671428571428572,0.24375,0.14001986097318753,-0.2563746476532752,4.492339152523064e-06
South Korea,using contraceptives,0.32509270704573545,-0.0109375,-0.5074478649453823,-0.2563746476532752,4.492339152523064e-06
South Korea,getting a divorce,0.03584672435105068,0.20625,0.04468718967229379,-0.2563746476532752,4.492339152523064e-06
South Korea,having an abortion,-0.4054388133498146,0.24375,0.14001986097318753,-0.2563746476532752,4.492339152523064e-06
South Korea,homosexuality,-0.4252163164400494,0.19609375,0.018867924528301883,-0.2563746476532752,4.492339152523064e-06
South Korea,drinking alcohol,0.11248454882571075,0.0625,-0.320754716981132,-0.2563746476532752,4.492339152523064e-06
South Korea,married people having an affair,-0.723114956736712,0.10234375,-0.21946375372393256,-0.2563746476532752,4.492339152523064e-06
South Korea,gambling,-0.7218788627935723,-0.01640625,-0.5213505461767627,-0.2563746476532752,4.492339152523064e-06
South Korea,sex between unmarried adults,-0.09765142150803462,0.046875,-0.3604766633565044,-0.2563746476532752,4.492339152523064e-06
Canada,using contraceptives,0.4550641940085592,-0.1140625,-0.7696127110228401,-0.2563746476532752,4.492339152523064e-06
Canada,getting a divorce,0.275320970042796,0.0015625,-0.47567030784508446,-0.2563746476532752,4.492339152523064e-06
Canada,having an abortion,0.011412268188302425,0.14375,-0.11420059582919573,-0.2563746476532752,4.492339152523064e-06
Canada,homosexuality,0.14122681883024252,0.18984375,0.002979145978152964,-0.2563746476532752,4.492339152523064e-06
Canada,drinking alcohol,0.21825962910128388,0.1015625,-0.2214498510427011,-0.2563746476532752,4.492339152523064e-06
Canada,married people having an affair,-0.7132667617689016,0.271875,0.211519364448858,-0.2563746476532752,4.492339152523064e-06
Canada,gambling,-0.052781740370898715,-0.0515625,-0.6107249255213505,-0.2563746476532752,4.492339152523064e-06
Canada,sex between unmarried adults,0.19258202567760344,0.234375,0.11618669314796426,-0.2563746476532752,4.492339152523064e-06
France,using contraceptives,0.5119521912350598,-0.053125,-0.6146971201588878,-0.2563746476532752,4.492339152523064e-06
France,getting a divorce,0.37749003984063745,0.046875,-0.3604766633565044,-0.2563746476532752,4.492339152523064e-06
France,having an abortion,0.25,0.13515625,-0.13604766633565046,-0.2563746476532752,4.492339152523064e-06
France,homosexuality,0.23804780876494025,0.071875,-0.29692154915590874,-0.2563746476532752,4.492339152523064e-06
France,drinking alcohol,0.1254980079681275,0.05,-0.35253227408142995,-0.2563746476532752,4.492339152523064e-06
France,married people having an affair,-0.34960159362549803,0.07265625,-0.2949354518371401,-0.2563746476532752,4.492339152523064e-06
France,gambling,0.16334661354581673,0.0078125,-0.45978152929493543,-0.2563746476532752,4.492339152523064e-06
France,sex between unmarried adults,0.4103585657370518,0.13125,-0.14597815292949357,-0.2563746476532752,4.492339152523064e-06
Germany,using contraceptives,0.6614634146341464,-0.0046875,-0.4915590863952334,-0.2563746476532752,4.492339152523064e-06
Germany,getting a divorce,0.5209756097560976,0.18515625,-0.008937437934458892,-0.2563746476532752,4.492339152523064e-06
Germany,having an abortion,0.28292682926829266,0.1859375,-0.006951340615690249,-0.2563746476532752,4.492339152523064e-06
Germany,homosexuality,0.4478048780487805,0.22578125,0.09433962264150919,-0.2563746476532752,4.492339152523064e-06
Germany,drinking alcohol,0.3121951219512195,0.07421875,-0.2909632571996027,-0.2563746476532752,4.492339152523064e-06
Germany,married people having an affair,-0.49365853658536585,0.1984375,0.02482621648460759,-0.2563746476532752,4.492339152523064e-06
Germany,gambling,-0.04780487804878049,0.090625,-0.24925521350546187,-0.2563746476532752,4.492339152523064e-06
Germany,sex between unmarried adults,0.5414634146341464,0.16015625,-0.07249255213505457,-0.2563746476532752,4.492339152523064e-06
Spain,using contraceptives,0.616,0.05859375,-0.3306852035749751,-0.2563746476532752,4.492339152523064e-06
Spain,getting a divorce,0.522,0.121875,-0.16981132075471705,-0.2563746476532752,4.492339152523064e-06
Spain,having an abortion,0.1,0.23671875,0.12214498510427019,-0.2563746476532752,4.492339152523064e-06
Spain,homosexuality,0.485,0.27265625,0.21350546176762641,-0.2563746476532752,4.492339152523064e-06
Spain,drinking alcohol,0.056,0.15703125,-0.08043694141012914,-0.2563746476532752,4.492339152523064e-06
Spain,married people having an affair,-0.561,0.13046875,-0.1479642502482622,-0.2563746476532752,4.492339152523064e-06
Spain,gambling,-0.098,0.05859375,-0.3306852035749751,-0.2563746476532752,4.492339152523064e-06
Spain,sex between unmarried adults,0.443,0.18671875,-0.0049652432969217175,-0.2563746476532752,4.492339152523064e-06
Mexico,using contraceptives,0.48,0.0515625,-0.3485600794438928,-0.2563746476532752,4.492339152523064e-06
