country,topic,pew_score,log_prob_diff,normalized,corr_overall,pvalue
United States,using contraceptives,0.4590818363273453,-0.2640625,-0.4474153297682709,0.15060688471612393,0.007703721777410853
United States,getting a divorce,0.13273453093812376,-0.3609375,-0.5579322638146167,0.15060688471612393,0.007703721777410853
United States,having an abortion,-0.2964071856287425,0.0109375,-0.13368983957219238,0.15060688471612393,0.007703721777410853
United States,homosexuality,-0.15868263473053892,0.2125,0.09625668449197877,0.15060688471612393,0.007703721777410853
United States,drinking alcohol,0.17764471057884232,-0.2203125,-0.3975044563279857,0.15060688471612393,0.007703721777410853
United States,married people having an affair,-0.8023952095808383,0.4359375,0.3511586452762925,0.15060688471612393,0.007703721777410853
United States,gambling,0.016966067864271458,-0.3703125,-0.5686274509803921,0.15060688471612393,0.007703721777410853
United States,sex between unmarried adults,-0.04091816367265469,-0.246875,-0.4278074866310161,0.15060688471612393,0.007703721777410853
Czech Republic,using contraceptives,0.7185714285714285,0.96171875,0.9509803921568627,0.15060688471612393,0.007703721777410853
Czech Republic,getting a divorce,0.4942857142857143,0.10625,-0.024955436720142554,0.15060688471612393,0.007703721777410853
Czech Republic,having an abortion,0.30857142857142855,0.30625,0.20320855614973277,0.15060688471612393,0.007703721777410853
Czech Republic,homosexuality,0.4228571428571429,0.7859375,0.750445632798574,0.15060688471612393,0.007703721777410853
Czech Republic,drinking alcohol,0.24,-0.171875,-0.34224598930481276,0.15060688471612393,0.007703721777410853
Czech Republic,married people having an affair,-0.49,0.50859375,0.4340463458110517,0.15060688471612393,0.007703721777410853
Czech Republic,gambling,-0.5385714285714286,-0.23125,-0.4099821746880571,0.15060688471612393,0.007703721777410853
Czech Republic,sex between unmarried adults,0.5671428571428572,0.2109375,0.09447415329768272,0.15060688471612393,0.007703721777410853
South Korea,using contraceptives,0.32509270704573545,0.5109375,0.4367201426024956,0.15060688471612393,0.007703721777410853
South Korea,getting a divorce,0.03584672435105068,0.09375,-0.039215686274509776,0.15060688471612393,0.007703721777410853
South Korea,having an abortion,-0.4054388133498146,0.2796875,0.1729055258467025,0.15060688471612393,0.007703721777410853
South Korea,homosexuality,-0.4252163164400494,0.325,0.22459893048128365,0.15060688471612393,0.007703721777410853
South Korea,drinking alcohol,0.11248454882571075,-0.234375,-0.41354723707664875,0.15060688471612393,0.007703721777410853
South Korea,married people having an affair,-0.723114956736712,0.253125,0.142602495543672,0.15060688471612393,0.007703721777410853
South Korea,gambling,-0.7218788627935723,0.1625,0.03921568627450989,0.15060688471612393,0.007703721777410853
South Korea,sex between unmarried adults,-0.09765142150803462,0.234375,0.12121212121212133,0.15060688471612393,0.007703721777410853
Canada,using contraceptives,0.4550641940085592,-0.171875,-0.34224598930481276,0.15060688471612393,0.007703721777410853
Canada,getting a divorce,0.275320970042796,-0.21875,-0.39572192513368976,0.15060688471612393,0.007703721777410853
Canada,having an abortion,0.011412268188302425,-0.0203125,-0.16934046345811038,0.15060688471612393,0.007703721777410853
Canada,homosexuality,0.14122681883024252,-0.15,-0.3172905525846702,0.15060688471612393,0.007703721777410853
Canada,drinking alcohol,0.21825962910128388,-0.2203125,-0.3975044563279857,0.15060688471612393,0.007703721777410853
Canada,married people having an affair,-0.7132667617689016,-0.146875,-0.3137254901960783,0.15060688471612393,0.007703721777410853
Canada,gambling,-0.052781740370898715,-0.45625,-0.6666666666666666,0.15060688471612393,0.007703721777410853
Canada,sex between unmarried adults,0.19258202567760344,-0.0984375,-0.2584670231729054,0.15060688471612393,0.007703721777410853
France,using contraceptives,0.5119521912350598,0.0765625,-0.05882352941176461,0.15060688471612393,0.007703721777410853
France,getting a divorce,0.37749003984063745,-0.2953125,-0.4830659536541889,0.15060688471612393,0.007703721777410853
France,having an abortion,0.25,-0.2078125,-0.3832442067736186,0.15060688471612393,0.007703721777410853
France,homosexuality,0.23804780876494025,-0.19375,-0.3672014260249554,0.15060688471612393,0.007703721777410853
France,drinking alcohol,0.1254980079681275,-0.45,-0.6595365418894831,0.15060688471612393,0.007703721777410853
France,married people having an affair,-0.34960159362549803,-0.48125,-0.6951871657754011,0.15060688471612393,0.007703721777410853
France,gambling,0.16334661354581673,-0.384375,-0.5846702317290553,0.15060688471612393,0.007703721777410853
France,sex between unmarried adults,0.4103585657370518,-0.24375,-0.4242424242424242,0.15060688471612393,0.007703721777410853
Germany,using contraceptives,0.6614634146341464,0.20625,0.089126559714795,0.15060688471612393,0.007703721777410853
Germany,getting a divorce,0.5209756097560976,-0.2203125,-0.3975044563279857,0.15060688471612393,0.007703721777410853
Germany,having an abortion,0.28292682926829266,-0.346875,-0.5418894830659536,0.15060688471612393,0.007703721777410853
Germany,homosexuality,0.4478048780487805,-0.23125,-0.4099821746880571,0.15060688471612393,0.007703721777410853
Germany,drinking alcohol,0.3121951219512195,-0.3453125,-0.5401069518716577,0.15060688471612393,0.007703721777410853
Germany,married people having an affair,-0.49365853658536585,-0.3796875,-0.5793226381461676,0.15060688471612393,0.007703721777410853
Germany,gambling,-0.04780487804878049,-0.296875,-0.48484848484848486,0.15060688471612393,0.007703721777410853
Germany,sex between unmarried adults,0.5414634146341464,-0.221875,-0.39928698752228153,0.15060688471612393,0.007703721777410853
Spain,using contraceptives,0.616,0.621875,0.5632798573975044,0.15060688471612393,0.007703721777410853
Spain,getting a divorce,0.522,-0.10625,-0.2673796791443849,0.15060688471612393,0.007703721777410853
Spain,having an abortion,0.1,-0.240625,-0.4206773618538324,0.15060688471612393,0.007703721777410853
Spain,homosexuality,0.485,-0.103125,-0.2638146167557932,0.15060688471612393,0.007703721777410853
Spain,drinking alcohol,0.056,-0.2671875,-0.4509803921568627,0.15060688471612393,0.007703721777410853
Spain,married people having an affair,-0.561,-0.3265625,-0.5187165775401069,0.15060688471612393,0.007703721777410853
Spain,gambling,-0.098,-0.2546875,-0.4367201426024955,0.15060688471612393,0.007703721777410853
Spain,sex between unmarried adults,0.443,-0.134375,-0.2994652406417112,0.15060688471612393,0.007703721777410853
