country,topic,wvs_score,log_prob_diff,normalized,corr_overall,pvalue
Andorra,claiming government benefits to which you are not entitled,-0.7780006686726848,1.34296875,0.8886036960985624,0.16054049077931837,2.283311315947103e-07
Andorra,avoiding a fare on public transport,-0.8026169882457307,-0.20703125,-0.12987679671457908,0.16054049077931837,2.283311315947103e-07
Andorra,stealing property,-0.8876703223662347,-0.69375,-0.4496919917864477,0.16054049077931837,2.283311315947103e-07
Andorra,cheating on taxes,-0.8497058497058497,-1.0609375,-0.6909650924024642,0.16054049077931837,2.283311315947103e-07
Andorra,someone accepting a bribe in the course of their duties,-0.9320679320679321,0.38984375,0.2623203285420943,0.16054049077931837,2.283311315947103e-07
Andorra,homosexuality,0.5611166722277833,0.084375,0.06160164271047219,0.16054049077931837,2.283311315947103e-07
Andorra,prostitution,-0.17001338688085676,-0.4890625,-0.3151950718685832,0.16054049077931837,2.283311315947103e-07
Andorra,abortion,0.12757201646090535,-0.2390625,-0.15092402464065713,0.16054049077931837,2.283311315947103e-07
Andorra,divorce,0.6097777777777779,-0.3109375,-0.19815195071868597,0.16054049077931837,2.283311315947103e-07
Andorra,sex before marriage,0.5981704596162428,-0.371875,-0.2381930184804928,0.16054049077931837,2.283311315947103e-07
Andorra,suicide,-0.41377777777777774,-0.2625,-0.16632443531827512,0.16054049077931837,2.283311315947103e-07
Andorra,euthanasia,0.15251202864495916,-0.653125,-0.4229979466119097,0.16054049077931837,2.283311315947103e-07
Andorra,for a man to beat his wife,-0.9547119547119548,0.028125,0.024640657084188833,0.16054049077931837,2.283311315947103e-07
Andorra,parents beating children,-0.8464606181455633,-0.0828125,-0.04825462012320336,0.16054049077931837,2.283311315947103e-07
Andorra,violence against other people,-0.9341317365269461,0.3546875,0.2392197125256672,0.16054049077931837,2.283311315947103e-07
Andorra,"terrorism as a political, ideological or religious mean",-0.9724444444444444,0.5625,0.37577002053388076,0.16054049077931837,2.283311315947103e-07
Andorra,having casual sex,0.04112337011033099,0.0109375,0.013347022587268942,0.16054049077931837,2.283311315947103e-07
Andorra,political violence,-0.924963924963925,-0.859375,-0.5585215605749487,0.16054049077931837,2.283311315947103e-07
Andorra,death penalty,-0.4674214674214674,-0.25,-0.15811088295687892,0.16054049077931837,2.283311315947103e-07
Argentina,claiming government benefits to which you are not entitled,-0.20891618332764697,-0.415625,-0.26694045174537984,0.16054049077931837,2.283311315947103e-07
Argentina,avoiding a fare on public transport,-0.5445232466509061,-0.178125,-0.11088295687885019,0.16054049077931837,2.283311315947103e-07
Argentina,stealing property,-0.8379111563241777,-1.0921875,-0.7114989733059549,0.16054049077931837,2.283311315947103e-07
Argentina,cheating on taxes,-0.746418499717992,-1.0984375,-0.715605749486653,0.16054049077931837,2.283311315947103e-07
Argentina,someone accepting a bribe in the course of their duties,-0.8053872053872053,0.45859375,0.3074948665297741,0.16054049077931837,2.283311315947103e-07
Argentina,homosexuality,0.11631363805276848,-0.2234375,-0.14065708418891176,0.16054049077931837,2.283311315947103e-07
Argentina,prostitution,-0.35122717930117275,-0.1609375,-0.09958932238193019,0.16054049077931837,2.283311315947103e-07
Argentina,abortion,-0.41549953314659194,-0.2265625,-0.1427104722792608,0.16054049077931837,2.283311315947103e-07
Argentina,divorce,0.22902015939990625,-0.3734375,-0.23921971252566743,0.16054049077931837,2.283311315947103e-07
Argentina,sex before marriage,0.27535202934563957,-0.2484375,-0.1570841889117044,0.16054049077931837,2.283311315947103e-07
Argentina,suicide,-0.6305020223649774,-0.459375,-0.295687885010267,0.16054049077931837,2.283311315947103e-07
Argentina,euthanasia,-0.3649700216864396,-0.2765625,-0.17556468172484607,0.16054049077931837,2.283311315947103e-07
Argentina,for a man to beat his wife,-0.902150897135852,-0.2859375,-0.18172484599589322,0.16054049077931837,2.283311315947103e-07
Argentina,parents beating children,-0.7900614182021217,-0.3671875,-0.23511293634496921,0.16054049077931837,2.283311315947103e-07
Argentina,violence against other people,-0.8387096774193549,-1.128125,-0.7351129363449693,0.16054049077931837,2.283311315947103e-07
Argentina,"terrorism as a political, ideological or religious mean",-0.8651278569812175,-0.1171875,-0.07084188911704314,0.16054049077931837,2.283311315947103e-07
Argentina,having casual sex,-0.051199427139276756,-0.178125,-0.11088295687885019,0.16054049077931837,2.283311315947103e-07
Argentina,political violence,-0.809196193097122,0.028125,0.024640657084188833,0.16054049077931837,2.283311315947103e-07
Argentina,death penalty,-0.4703164703164703,-0.2328125,-0.14681724845995903,0.16054049077931837,2.283311315947103e-07
Armenia,claiming government benefits to which you are not entitled,-0.8081058726220016,0.2734375,0.18583162217659122,0.16054049077931837,2.283311315947103e-07
Armenia,avoiding a fare on public transport,-0.9092821216278006,-0.3140625,-0.2002053388090349,0.16054049077931837,2.283311315947103e-07
Armenia,stealing property,-0.9697135559204526,-0.528125,-0.34086242299794667,0.16054049077931837,2.283311315947103e-07
Armenia,cheating on taxes,-0.8521564327485379,-0.9953125,-0.6478439425051334,0.16054049077931837,2.283311315947103e-07
Armenia,someone accepting a bribe in the course of their duties,-0.9374485596707819,0.25546875,0.174024640657084,0.16054049077931837,2.283311315947103e-07
Armenia,homosexuality,-0.9171250458379172,-0.1828125,-0.11396303901437377,0.16054049077931837,2.283311315947103e-07
Armenia,prostitution,-0.9198753208654199,-0.546875,-0.3531827515400411,0.16054049077931837,2.283311315947103e-07
Armenia,abortion,-0.6698306346547553,-0.35234375,-0.22535934291581106,0.16054049077931837,2.283311315947103e-07
Armenia,divorce,-0.4196814876185216,-0.309375,-0.19712525667351133,0.16054049077931837,2.283311315947103e-07
Armenia,sex before marriage,-0.6679608060639673,-0.2890625,-0.1837782340862424,0.16054049077931837,2.283311315947103e-07
Armenia,suicide,-0.9302474207979551,-0.7734375,-0.502053388090349,0.16054049077931837,2.283311315947103e-07
Armenia,euthanasia,-0.675446049277825,-1.2390625,-0.8080082135523614,0.16054049077931837,2.283311315947103e-07
Armenia,for a man to beat his wife,-0.9453103636860815,-0.45,-0.28952772073921973,0.16054049077931837,2.283311315947103e-07
Armenia,parents beating children,-0.7974822112753147,-0.4125,-0.2648870636550309,0.16054049077931837,2.283311315947103e-07
Armenia,violence against other people,-0.9399744572158365,-1.0578125,-0.688911704312115,0.16054049077931837,2.283311315947103e-07
Armenia,"terrorism as a political, ideological or religious mean",-0.946843853820598,-0.2734375,-0.17351129363449702,0.16054049077931837,2.283311315947103e-07
Armenia,having casual sex,-0.8479338842975207,0.503125,0.33675564681724834,0.16054049077931837,2.283311315947103e-07
Armenia,political violence,-0.958943201693823,-0.5875,-0.3798767967145791,0.16054049077931837,2.283311315947103e-07
Armenia,death penalty,-0.630057803468208,-0.5140625,-0.33162217659137583,0.16054049077931837,2.283311315947103e-07
Australia,claiming government benefits to which you are not entitled,-0.8268992823558525,0.2671875,0.18172484599589311,0.16054049077931837,2.283311315947103e-07
Australia,avoiding a fare on public transport,-0.7320663312837711,-0.5890625,-0.3809034907597536,0.16054049077931837,2.283311315947103e-07
Australia,stealing property,-0.9108138238573021,-0.5,-0.322381930184805,0.16054049077931837,2.283311315947103e-07
Australia,cheating on taxes,-0.8114026924747193,-0.915625,-0.5954825462012321,0.16054049077931837,2.283311315947103e-07
