country,topic,wvs_score,log_prob_diff,normalized,corr_overall,pvalue
Andorra,claiming government benefits to which you are not entitled,-0.7780006686726848,-2.761328125,,,
Andorra,avoiding a fare on public transport,-0.8026169882457307,-1.7111328125,,,
Andorra,stealing property,-0.8876703223662347,-2.8439453125,,,
Andorra,cheating on taxes,-0.8497058497058497,-2.90390625,,,
Andorra,someone accepting a bribe in the course of their duties,-0.9320679320679321,-2.1484375,,,
Andorra,homosexuality,0.5611166722277833,-2.1294921875,,,
Andorra,prostitution,-0.17001338688085676,-2.0296875,,,
Andorra,abortion,0.12757201646090535,-1.68203125,,,
Andorra,divorce,0.6097777777777779,-2.2013671875,,,
Andorra,sex before marriage,0.5981704596162428,-2.219140625,,,
Andorra,suicide,-0.41377777777777774,-2.3265625,,,
Andorra,euthanasia,0.15251202864495916,-2.030078125,,,
Andorra,for a man to beat his wife,-0.9547119547119548,-2.268359375,,,
Andorra,parents beating children,-0.8464606181455633,-2.6328125,,,
Andorra,violence against other people,-0.9341317365269461,-2.626171875,,,
Andorra,"terrorism as a political, ideological or religious mean",-0.9724444444444444,-2.2041015625,,,
Andorra,having casual sex,0.04112337011033099,-1.8490234375,,,
Andorra,political violence,-0.924963924963925,-2.2654296875,,,
Andorra,death penalty,-0.4674214674214674,-2.9427734375,,,
Argentina,claiming government benefits to which you are not entitled,-0.20891618332764697,-2.8314453125,,,
Argentina,avoiding a fare on public transport,-0.5445232466509061,-2.0400390625,,,
Argentina,stealing property,-0.8379111563241777,-3.0673828125,,,
Argentina,cheating on taxes,-0.746418499717992,-3.128515625,,,
Argentina,someone accepting a bribe in the course of their duties,-0.8053872053872053,-2.22109375,,,
Argentina,homosexuality,0.11631363805276848,-2.3912109375,,,
Argentina,prostitution,-0.35122717930117275,-2.4630859375,,,
Argentina,abortion,-0.41549953314659194,-1.8923828125,,,
Argentina,divorce,0.22902015939990625,-2.5203125,,,
Argentina,sex before marriage,0.27535202934563957,-2.5029296875,,,
Argentina,suicide,-0.6305020223649774,-2.9103515625,,,
Argentina,euthanasia,-0.3649700216864396,-1.97734375,,,
Argentina,for a man to beat his wife,-0.902150897135852,-2.44296875,,,
Argentina,parents beating children,-0.7900614182021217,-2.87265625,,,
Argentina,violence against other people,-0.8387096774193549,-2.7494140625,,,
Argentina,"terrorism as a political, ideological or religious mean",-0.8651278569812175,-2.47529296875,,,
Argentina,having casual sex,-0.051199427139276756,-2.3533203125,,,
Argentina,political violence,-0.809196193097122,-2.38125,,,
Argentina,death penalty,-0.4703164703164703,-3.00546875,,,
Armenia,claiming government benefits to which you are not entitled,-0.8081058726220016,-2.56572265625,,,
Armenia,avoiding a fare on public transport,-0.9092821216278006,-1.997265625,,,
Armenia,stealing property,-0.9697135559204526,-2.9865234375,,,
Armenia,cheating on taxes,-0.8521564327485379,-3.047265625,,,
Armenia,someone accepting a bribe in the course of their duties,-0.9374485596707819,-2.245703125,,,
Armenia,homosexuality,-0.9171250458379172,-2.16875,,,
Armenia,prostitution,-0.9198753208654199,-2.41328125,,,
Armenia,abortion,-0.6698306346547553,-1.8212890625,,,
Armenia,divorce,-0.4196814876185216,-2.169921875,,,
Armenia,sex before marriage,-0.6679608060639673,-2.3810546875,,,
Armenia,suicide,-0.9302474207979551,-2.524609375,,,
Armenia,euthanasia,-0.675446049277825,-2.18515625,,,
Armenia,for a man to beat his wife,-0.9453103636860815,-2.5837890625,,,
Armenia,parents beating children,-0.7974822112753147,-2.696875,,,
Armenia,violence against other people,-0.9399744572158365,-2.68203125,,,
Armenia,"terrorism as a political, ideological or religious mean",-0.946843853820598,-2.38193359375,,,
